event_id,match_id,player_id,event_type,minute,team_id
1,1,16,Goal,54,1
2,1,23,Goal,57,1
3,1,16,Goal,22,1
4,1,3,Goal,73,1
5,1,300,Goal,29,14
6,1,309,Goal,5,14
7,1,308,Goal,29,14
8,1,305,Yellow Card,59,14
9,1,317,Yellow Card,66,14
10,1,19,Yellow Card,15,1
11,1,317,Yellow Card,47,14
12,1,15,Yellow Card,70,1
13,2,14,Goal,14,1
14,2,324,Yellow Card,58,15
15,2,334,Yellow Card,12,15
16,3,395,Goal,31,18
17,3,398,Goal,76,18
18,3,414,Goal,45,18
19,3,397,Yellow Card,79,18
20,3,7,Yellow Card,27,1
21,3,19,Yellow Card,45,1
22,3,411,Yellow Card,69,18
23,3,11,Yellow Card,38,1
24,4,9,Goal,66,1
25,4,22,Goal,13,1
26,4,5,Goal,53,1
27,4,2,Goal,36,1
28,4,389,Goal,17,17
29,4,391,Goal,17,17
30,4,376,Goal,19,17
31,4,391,Goal,42,17
32,4,384,Yellow Card,19,17
33,4,389,Yellow Card,54,17
34,5,532,Goal,82,24
35,5,532,Goal,52,24
36,5,552,Yellow Card,48,24
37,5,545,Yellow Card,42,24
38,5,3,Yellow Card,59,1
39,5,532,Yellow Card,69,24
40,5,536,Yellow Card,55,24
41,6,315,Goal,35,14
42,6,333,Goal,37,15
43,6,333,Goal,71,15
44,6,318,Yellow Card,63,14
45,6,344,Yellow Card,7,15
46,6,303,Yellow Card,81,14
47,6,323,Yellow Card,16,15
48,6,314,Yellow Card,59,14
49,6,329,Red Card,89,15
50,7,304,Goal,84,14
51,7,401,Goal,21,18
52,7,400,Goal,12,18
53,7,412,Goal,47,18
54,7,400,Goal,11,18
55,7,301,Yellow Card,51,14
56,7,414,Yellow Card,30,18
57,7,412,Yellow Card,12,18
58,8,300,Goal,28,14
59,8,315,Goal,10,14
60,8,304,Goal,76,14
61,8,307,Goal,67,14
62,8,390,Goal,57,17
63,8,369,Goal,2,17
64,8,313,Yellow Card,89,14
65,8,315,Yellow Card,10,14
66,8,312,Yellow Card,12,14
67,9,303,Goal,14,14
68,9,310,Goal,48,14
69,9,539,Goal,18,24
70,9,320,Yellow Card,87,14
71,9,302,Yellow Card,68,14
72,9,319,Yellow Card,84,14
73,9,314,Yellow Card,45,14
74,10,343,Goal,20,15
75,10,336,Goal,79,15
76,10,344,Goal,57,15
77,10,398,Goal,12,18
78,10,395,Goal,18,18
79,10,403,Yellow Card,55,18
80,11,373,Goal,32,17
81,11,377,Goal,83,17
82,11,340,Yellow Card,77,15
83,12,549,Goal,37,24
84,12,536,Yellow Card,67,24
85,13,398,Goal,51,18
86,13,401,Goal,83,18
87,13,393,Goal,31,18
88,13,384,Goal,50,17
89,13,372,Goal,31,17
90,13,384,Goal,82,17
91,13,388,Goal,10,17
92,13,403,Yellow Card,41,18
93,13,404,Yellow Card,73,18
94,13,380,Yellow Card,70,17
95,13,407,Yellow Card,10,18
96,13,410,Yellow Card,9,18
97,13,393,Red Card,8,18
98,14,550,Yellow Card,65,24
99,14,543,Yellow Card,90,24
100,14,532,Yellow Card,82,24
101,14,400,Yellow Card,11,18
102,15,385,Goal,27,17
103,15,373,Goal,69,17
104,15,379,Goal,51,17
105,15,387,Goal,82,17
106,15,550,Goal,88,24
107,15,550,Goal,9,24
108,15,537,Yellow Card,8,24
109,15,371,Yellow Card,56,17
110,15,383,Yellow Card,79,17
111,16,33,Goal,86,2
112,16,45,Goal,23,2
113,16,27,Goal,2,2
114,16,138,Goal,18,6
115,16,138,Goal,2,6
116,16,121,Goal,64,6
117,16,121,Yellow Card,48,6
118,16,32,Yellow Card,16,2
119,16,34,Yellow Card,55,2
120,17,26,Goal,34,2
121,17,46,Goal,74,2
122,17,44,Goal,10,2
123,17,39,Goal,59,2
124,17,270,Goal,47,12
125,17,272,Yellow Card,22,12
126,18,32,Goal,14,2
127,18,42,Goal,87,2
128,18,27,Goal,30,2
129,18,477,Goal,1,21
130,18,31,Yellow Card,6,2
131,19,128,Goal,20,6
132,19,121,Goal,5,6
133,19,271,Goal,84,12
134,19,267,Goal,29,12
135,19,264,Goal,32,12
136,19,262,Yellow Card,10,12
137,19,257,Yellow Card,65,12
