match_id,match_date,stadium_id,home_team_id,away_team_id,home_score,away_score,attendance,round,status
1,2025-01-12,2,1,14,4,3,50426,Group A,Completed
2,2025-01-14,4,1,15,1,0,31409,Group A,Completed
3,2025-01-16,1,1,18,0,3,30213,Group A,Completed
4,2025-01-17,3,1,17,4,4,34516,Group A,Completed
5,2025-01-19,3,1,24,0,2,40675,Group A,Completed
6,2025-01-21,4,14,15,1,2,33121,Group A,Completed
7,2025-01-23,4,14,18,1,4,36648,Group A,Completed
8,2025-01-25,1,14,17,4,2,31151,Group A,Completed
9,2025-01-26,1,14,24,2,1,39903,Group A,Completed
10,2025-01-27,6,15,18,3,2,38638,Group A,Completed
11,2025-01-28,1,15,17,0,2,44146,Group A,Completed
12,2025-01-30,3,15,24,0,1,17860,Group A,Completed
13,2025-01-31,4,18,17,3,4,33177,Group A,Completed
14,2025-02-02,1,18,24,0,0,38194,Group A,Completed
15,2025-02-03,5,17,24,4,2,27623,Group A,Completed
16,2025-02-04,3,2,6,3,3,40531,Group B,Completed
17,2025-02-05,6,2,12,4,1,52483,Group B,Completed
18,2025-02-06,6,2,21,3,1,24099,Group B,Completed
19,2025-02-08,3,6,12,2,3,19781,Group B,Completed
20,2025-02-09,2,6,21,3,2,42597,Group B,Completed
21,2025-02-11,4,12,21,0,2,23247,Group B,Completed
22,2025-02-12,6,3,8,3,4,55414,Group C,Completed
23,2025-02-13,4,3,20,0,1,24983,Group C,Completed
24,2025-02-14,4,3,22,2,4,27448,Group C,Completed
25,2025-02-16,4,8,20,2,3,41721,Group C,Completed
26,2025-02-17,3,8,22,2,4,37783,Group C,Completed
27,2025-02-18,4,20,22,2,1,28049,Group C,Completed
28,2025-02-20,3,4,7,3,4,40623,Group D,Completed
29,2025-02-21,3,4,10,3,2,41754,Group D,Completed
30,2025-02-23,3,4,23,0,4,21547,Group D,Completed
31,2025-02-24,6,7,10,4,0,62658,Group D,Completed
32,2025-02-26,6,7,23,1,3,34092,Group D,Completed
33,2025-02-27,4,10,23,3,1,35753,Group D,Completed
34,2025-03-01,2,5,11,2,1,42730,Group E,Completed
35,2025-03-03,1,5,19,3,4,46407,Group E,Completed
36,2025-03-05,5,5,13,4,3,32814,Group E,Completed
37,2025-03-06,3,11,19,4,4,35911,Group E,Completed
38,2025-03-07,1,11,13,1,2,25901,Group E,Completed
39,2025-03-08,5,19,13,3,2,41090,Group E,Completed
40,2025-03-10,1,9,16,0,0,31956,Group F,Completed
41,2025-03-11,5,9,12,4,4,34022,Group F,Completed
42,2025-03-12,4,9,1,2,3,30173,Group F,Completed
43,2025-03-13,3,16,12,0,3,18425,Group F,Completed
44,2025-03-15,4,16,1,0,0,42240,Group F,Completed
45,2025-03-16,3,12,1,2,2,29920,Group F,Completed
46,2025-03-17,5,16,12,3,0,37178,Round of 16,Completed
47,2025-03-21,6,15,11,0,2,32928,Round of 16,Completed
48,2025-03-25,1,1,11,0,1,45985,Round of 16,Completed
49,2025-03-29,2,18,6,2,3,45140,Round of 16,Completed
50,2025-03-31,4,21,6,1,3,36481,Round of 16,Completed
51,2025-04-02,6,20,7,3,3,55482,Round of 16,Completed
52,2025-04-04,6,7,9,0,0,42252,Round of 16,Completed
53,2025-04-07,3,7,15,0,2,40988,Round of 16,Completed
54,2025-04-10,5,21,11,3,3,39617,Quarter-finals,Completed
55,2025-04-12,3,12,15,1,2,40067,Quarter-finals,Completed
56,2025-04-16,1,22,5,2,0,45635,Quarter-finals,Completed
57,2025-04-19,1,6,12,1,3,57409,Quarter-finals,Completed
58,2025-04-23,2,19,13,3,1,45947,Semi-finals,Completed
59,2025-04-27,5,23,21,1,1,38022,Semi-finals,Completed
60,2025-04-30,2,6,11,3,0,41764,Third Place,Completed
61,2025-05-02,4,5,7,3,3,36703,Final,Completed
