player_id,team_id,player_name,position,age,height_cm,club,market_value_millions
1,1,Luke Lewis,Forward,22,187,"Phillips, Webb and Vargas",67.9
2,1,Michael Dunn,Midfielder,20,194,Rice-Moore,43.1
3,1,Paul Price,Forward,21,183,Butler Ltd,66.4
4,1,Kevin Johnson,Midfielder,25,169,Chavez-Smith,4.1
5,1,Stephen Lambert,Defender,28,170,Ray Ltd,68.5
6,1,Tiffany Cruz,Goalkeeper,31,182,Curry-Stewart,36.5
7,1,Christy Carson,Midfielder,24,188,"Lawrence, Baker and Mccormick",28.7
8,1,Brad Boyd,Midfielder,21,175,Bell and Sons,43.0
9,1,Gregory Reyes,Defender,24,194,"Klein, Bennett and Perez",30.7
10,1,Jennifer Flores,Defender,29,168,"Mcdonald, Richards and Brown",18.7
11,1,Jennifer Franklin,Goalkeeper,29,190,Cruz PLC,21.8
12,1,Anita Wagner,Defender,29,178,Andrade-Hutchinson,52.6
13,1,Curtis Mcdonald,Forward,33,174,Morse-Daniels,21.6
14,1,Holly Willis,Defender,27,192,"Thomas, Smith and Villanueva",71.9
15,1,Austin Lopez,Forward,30,179,Evans-Frazier,79.8
16,1,Patricia Robinson,Defender,35,196,"Johnson, Guerra and Jones",7.7
17,1,Alyssa Tucker,Goalkeeper,22,174,Allen-Chavez,50.4
18,1,Eric Jones,Forward,21,189,Horton PLC,30.8
19,1,Michelle Mcmillan,Forward,35,181,"Bates, Flores and King",77.7
20,1,Jessica Dodson,Goalkeeper,22,182,Ellis Ltd,61.6
21,1,Travis Ho,Midfielder,22,183,Edwards-Myers,35.1
22,1,Tammy Hamilton,Forward,19,181,"Nicholson, Johnson and Oliver",77.8
23,1,Jennifer Brown,Defender,35,171,"Hanson, Casey and Rivera",69.7
24,2,Teresa Erickson,Midfielder,35,177,"Gonzalez, Gonzales and Werner",12.7
25,2,Mrs. Kimberly Wilson,Defender,35,165,Tyler-Walker,48.1
26,2,Monique Jones,Forward,19,172,"Luna, Jones and Cruz",74.4
27,2,Kelly Flores,Midfielder,26,168,Klein-Stewart,19.6
28,2,Ryan Coleman,Goalkeeper,21,196,Young LLC,65.4
29,2,Holly Ortega,Defender,23,195,Cline-Velazquez,75.8
30,2,Erica Green,Defender,27,198,"Smith, Boyd and Schroeder",69.9
31,2,Tammy Beard,Forward,25,177,Castillo-Carter,57.2
32,2,Nicole Rose,Forward,30,193,"Bell, Daniels and Farrell",72.0
33,2,Jodi Brown,Forward,22,180,Bishop LLC,18.4
34,2,Christina Briggs,Midfielder,19,179,Hart Inc,47.3
35,2,Rachel Peters,Goalkeeper,21,168,Curry-Massey,18.7
36,2,Teresa Santiago,Goalkeeper,29,169,Coleman-Taylor,41.4
37,2,Ronald Smith,Midfielder,34,178,"Sims, Galvan and White",43.4
38,2,Ricky Davis,Forward,26,195,Shepard Group,64.7
39,2,Karen James,Defender,22,171,Weaver Ltd,52.9
40,2,Susan Callahan,Midfielder,32,191,Nunez-Miller,37.6
41,2,Monica Mills,Goalkeeper,22,168,"Ball, Lyons and Andersen",32.5
42,2,Erika Clayton,Midfielder,22,180,Avery-Williams,15.7
43,2,Melinda Castro,Forward,23,192,Johnson-Mcmillan,15.1
44,2,David Valencia,Forward,26,169,Vargas-Pittman,35.7
45,2,Stephanie Baker,Goalkeeper,20,165,Mooney-Hernandez,77.5
46,2,Patricia Gonzalez,Defender,24,191,"Hobbs, Mueller and Gonzalez",39.1
47,3,April Brown,Defender,31,168,Ramsey-Roberts,13.6
48,3,Laura Gonzales,Goalkeeper,31,181,"Bailey, Wilson and Robbins",74.2
49,3,Melissa Ross,Forward,28,192,Gill-Ortiz,55.9
50,3,Barbara Gibson,Forward,23,177,"Jones, Hanna and Brown",24.1
51,3,Lindsay Garcia,Goalkeeper,20,185,"Orozco, Lindsey and Barnett",5.0
52,3,Crystal Brown,Forward,35,198,Arnold Ltd,13.0
53,3,Tiffany Jones,Goalkeeper,24,169,"Richards, Rogers and Jones",47.8
54,3,Angela Murray,Defender,31,172,Mcdaniel LLC,75.4
55,3,Vickie Miller,Defender,20,170,Wright-Gonzales,33.8
56,3,Michael Taylor,Midfielder,27,178,Johnson-Edwards,53.7
57,3,Kathryn Doyle,Midfielder,26,181,Brown-Duarte,32.0
58,3,Jessica Luna,Midfielder,33,185,"House, Abbott and May",74.4
59,3,Zachary Washington DDS,Goalkeeper,19,194,Mcdonald Ltd,49.9
60,3,Ashley Ward,Goalkeeper,21,178,Martinez-Williams,40.7
61,3,Clifford Greer,Defender,30,169,Hart-Romero,70.4
62,3,Alyssa Estes,Midfielder,28,175,"Johnson, Brooks and Smith",35.3
63,3,Deanna Allison,Midfielder,35,165,"Clark, Delgado and Collins",53.6
64,3,Jeremy Mcgee,Midfielder,22,173,Duncan Inc,21.5
65,3,Courtney Hester,Goalkeeper,23,182,Rodriguez-Davenport,22.9
66,3,Dan Smith,Defender,29,178,"Hartman, Rojas and Kim",55.2
67,3,Christopher Summers,Midfielder,35,196,Wright LLC,20.5
68,3,Eric Rosales,Goalkeeper,21,192,"Hale, Morales and Mitchell",66.4
69,3,Lindsey Owens,Goalkeeper,19,186,"Jones, Patterson and Martinez",61.8
70,4,Eduardo Garcia,Midfielder,24,193,Hess and Sons,44.4
71,4,Maria Harris,Forward,19,172,Bennett-Moss,6.5
72,4,Lauren Rice,Defender,20,188,Nelson Ltd,46.8
73,4,Jessica Chen,Defender,32,173,Mcconnell Inc,3.8
74,4,Nicholas Mckee,Midfielder,20,187,Norman LLC,17.2
75,4,Jasmine Carter,Defender,22,187,Charles-Rivera,62.5
76,4,Frances Henderson,Forward,23,180,Aguilar-Murray,69.2
77,4,Monica Wood,Defender,32,166,"Manning, Massey and Mccoy",14.8
78,4,Keith Paul,Midfielder,32,180,"Garner, Olsen and Jones",21.7
79,4,Elaine Ray,Goalkeeper,31,167,Drake LLC,68.8
80,4,Andre Thomas,Defender,25,194,Garrett-Lane,28.3
81,4,Rebecca Johnson,Defender,26,166,"Reed, Lee and Ellis",53.0
82,4,Adam Turner,Forward,29,182,Gordon-Hicks,69.2
83,4,Timothy Harris,Midfielder,30,197,Dalton-Smith,32.3
84,4,Elizabeth Mcdowell,Midfielder,19,172,Maldonado-Colon,70.2
85,4,Christina Price,Midfielder,24,181,Pierce-Porter,3.5
86,4,Emily Hudson,Forward,30,185,Buchanan and Sons,35.2
87,4,Dalton Cameron,Goalkeeper,31,177,Wilcox PLC,20.8
88,4,Gerald Franklin,Forward,19,198,Robinson-Wallace,74.1
89,4,Erica Lopez,Defender,30,192,Brady-Villarreal,6.1
90,4,Peter Williams,Midfielder,29,172,Mclaughlin-Murphy,57.7
91,4,Paul Walker,Midfielder,35,184,Underwood-King,53.5
92,4,Jeffrey Morton,Midfielder,31,183,Lewis Inc,44.6
93,5,Matthew Wallace,Defender,32,189,"Mcintosh, Riggs and Garcia",54.3
94,5,Terry Webb,Defender,28,190,Campbell PLC,44.1
95,5,Catherine Jones,Goalkeeper,28,183,Nguyen-Williams,17.2
96,5,Adam Smith,Midfielder,33,193,Powell-Cordova,35.7
97,5,Brittany Lopez,Defender,35,195,Leon-Newman,63.6
98,5,Elizabeth Bailey DVM,Defender,21,183,Nichols Ltd,41.5
99,5,Tanya Baker,Midfielder,21,180,"Lewis, Francis and Carey",54.0
100,5,Deborah Riley,Defender,25,174,Ferrell-Lopez,2.4
101,5,Kimberly Huber,Defender,34,169,Jones-Williams,36.7
102,5,Ashley Shepherd,Defender,31,196,Howell Ltd,32.3
103,5,Timothy Hernandez,Defender,19,171,Gomez-Andrews,62.4
104,5,Christine Jacobs,Defender,24,198,Obrien-Schneider,37.4
105,5,Lee Eaton,Defender,22,194,Lucas Ltd,11.1
106,5,Sara Mueller,Forward,35,185,Wright and Sons,76.0
107,5,Wayne Ball,Forward,35,192,Howard Ltd,66.5
108,5,Theresa Bishop,Forward,24,195,Cohen-Bradford,36.3
109,5,Kristi Ortiz,Defender,27,198,Merritt-Diaz,39.0
110,5,Adrienne Richmond,Defender,27,193,"Smith, Richardson and Jones",6.7
111,5,Jeffrey Adams,Midfielder,26,182,"Ward, Mann and Proctor",27.2
112,5,Jorge Clarke DVM,Goalkeeper,23,174,Sanders-Medina,18.9
113,5,Trevor Cain,Defender,25,169,Morris-Schneider,33.5
114,5,Kenneth Dawson,Midfielder,33,191,"Gray, Perez and Robinson",5.5
115,5,Victoria Thompson,Forward,31,166,"Frank, Garcia and Ross",68.6
116,6,Amber Haney,Forward,34,165,Guerrero LLC,75.4
117,6,Jim Wright,Midfielder,31,191,Lopez-Wells,43.3
118,6,Holly Ford,Defender,34,179,Green and Sons,22.2
119,6,Nicole Roman,Forward,19,189,Johnson-Cummings,27.2
120,6,Michael Stein,Forward,24,194,Benson Ltd,73.6
121,6,Kenneth Moore,Goalkeeper,31,166,Waters Ltd,7.2
122,6,Amy Harris,Forward,23,194,Terrell Inc,14.9
123,6,Jason Murray,Midfielder,31,185,"Brown, Flores and Peters",17.3
124,6,Alexander Ingram,Midfielder,29,189,"Patel, Higgins and Stewart",22.6
125,6,Taylor Zimmerman,Forward,27,170,Wilkins-Orozco,37.9
126,6,Jamie Ball,Goalkeeper,30,179,Hurst and Sons,52.2
127,6,Joseph Smith,Goalkeeper,19,180,Martin-Clark,16.3
128,6,David Kennedy,Goalkeeper,23,180,"Pittman, Murray and Mendez",10.5
