team_id,team_name,group_name,fifa_ranking,coach_name,coach_nationality
1,Morocco,A,91,Shelly Wilson,Nigeria
2,Senegal,B,13,Heather Schneider,Comoros
3,Egypt,C,45,Benjamin Myers,Ghana
4,Nigeria,D,38,Kelly Duncan,Algeria
5,Algeria,E,104,Vanessa Rogers,Nigeria
6,Cameroon,B,96,Scott Tate,Comoros
7,Ivory Coast,D,79,Alicia Hunter,Egypt
8,Ghana,C,85,Edwin Cross,DR Congo
9,Tunisia,F,14,Gregory Jones,Morocco
10,Mali,D,21,John Smith,Ivory Coast
11,Burkina Faso,E,39,Maureen Neal,Benin
12,Guinea,B,87,Jason Jenkins,Morocco
13,South Africa,E,81,Barbara Rosario,Ivory Coast
14,DR Congo,A,101,Pamela Jones,Mozambique
15,Zambia,A,99,James Heath,Tanzania
16,Gabon,F,63,Dustin Arnold,Ghana
17,Benin,A,67,Tyler Hebert,Mauritania
18,Tanzania,A,45,Robert Little,Morocco
19,Mauritania,E,107,Calvin Washington III,Cameroon
20,Angola,C,99,Robert Mendez,DR Congo
21,Mozambique,B,53,Charles Pierce,Tunisia
22,Zimbabwe,C,29,Joshua Williams,Ivory Coast
23,Namibia,D,107,Zoe Sharp,Burkina Faso
24,Comoros,A,23,Scott Ferguson,Egypt
