sale_id,match_id,sale_date,ticket_category,quantity,price_usd,total_revenue
1,1,2025-01-06,VIP,184,236,43424
2,1,2024-12-13,Premium,644,97,62468
3,1,2024-12-13,Standard,1701,61,103761
4,1,2024-12-17,Economy,3471,21,72891
5,2,2024-12-26,VIP,153,154,23562
6,2,2024-12-28,Premium,433,108,46764
7,2,2025-01-08,Standard,2489,38,94582
8,2,2025-01-10,Economy,2865,15,42975
9,3,2024-12-27,VIP,143,332,47476
10,3,2025-01-14,Premium,238,128,30464
11,3,2024-12-25,Standard,2795,70,195650
12,3,2025-01-12,Economy,3047,16,48752
13,4,2025-01-01,VIP,55,162,8910
14,4,2024-12-25,Premium,318,133,42294
15,4,2025-01-12,Standard,1909,54,103086
16,4,2025-01-10,Economy,2506,23,57638
17,5,2025-01-05,VIP,52,227,11804
18,5,2024-12-23,Premium,630,92,57960
19,5,2024-12-21,Standard,2356,63,148428
20,5,2025-01-15,Economy,3105,19,58995
21,6,2025-01-14,VIP,180,334,60120
22,6,2025-01-01,Premium,320,116,37120
23,6,2025-01-14,Standard,1233,80,98640
24,6,2024-12-27,Economy,2435,30,73050
25,7,2025-01-17,VIP,117,362,42354
26,7,2025-01-21,Premium,735,105,77175
27,7,2025-01-05,Standard,1733,75,129975
28,7,2025-01-07,Economy,3678,24,88272
29,8,2024-12-26,VIP,103,326,33578
30,8,2025-01-21,Premium,692,122,84424
31,8,2024-12-29,Standard,1480,30,44400
32,8,2025-01-06,Economy,2052,17,34884
33,9,2024-12-28,VIP,176,188,33088
34,9,2025-01-17,Premium,292,145,42340
35,9,2025-01-05,Standard,1153,76,87628
36,9,2025-01-18,Economy,4963,18,89334
37,10,2024-12-30,VIP,166,400,66400
38,10,2025-01-25,Premium,503,113,56839
39,10,2024-12-30,Standard,1950,33,64350
40,10,2025-01-17,Economy,2408,20,48160
41,11,2025-01-27,VIP,142,355,50410
42,11,2024-12-31,Premium,520,134,69680
43,11,2025-01-23,Standard,2512,37,92944
44,11,2025-01-06,Economy,2389,16,38224
45,12,2025-01-18,VIP,93,234,21762
46,12,2025-01-03,Premium,566,136,76976
47,12,2025-01-19,Standard,2956,69,203964
48,12,2025-01-24,Economy,3098,17,52666
49,13,2025-01-05,VIP,79,252,19908
50,13,2025-01-17,Premium,609,138,84042
51,13,2025-01-10,Standard,1556,54,84024
52,13,2025-01-02,Economy,4825,30,144750
53,14,2025-01-03,VIP,92,178,16376
54,14,2025-01-14,Premium,335,87,29145
55,14,2025-01-17,Standard,2930,40,117200
56,14,2025-01-07,Economy,2424,28,67872
57,15,2025-01-06,VIP,195,323,62985
58,15,2025-01-12,Premium,648,103,66744
59,15,2025-01-05,Standard,2251,54,121554
60,15,2025-01-07,Economy,3468,15,52020
61,16,2025-02-01,VIP,83,273,22659
62,16,2025-01-26,Premium,699,94,65706
63,16,2025-01-14,Standard,2817,56,157752
64,16,2025-01-24,Economy,3805,16,60880
65,17,2025-01-22,VIP,53,330,17490
66,17,2025-01-14,Premium,737,108,79596
67,17,2025-01-12,Standard,2957,72,212904
68,17,2025-01-28,Economy,3385,18,60930
69,18,2025-02-05,VIP,173,238,41174
70,18,2025-01-16,Premium,594,99,58806
71,18,2025-01-07,Standard,2718,65,176670
72,18,2025-01-31,Economy,4510,16,72160
73,19,2025-01-28,VIP,179,367,65693
74,19,2025-01-31,Premium,680,143,97240
75,19,2025-01-28,Standard,2780,40,111200
76,19,2025-01-30,Economy,2306,30,69180
77,20,2025-02-06,VIP,62,279,17298
78,20,2025-01-25,Premium,428,150,64200
79,20,2025-01-25,Standard,2317,54,125118
80,20,2025-01-14,Economy,3651,22,80322
81,21,2025-01-18,VIP,196,264,51744
82,21,2025-01-21,Premium,290,143,41470
83,21,2025-02-10,Standard,1915,50,95750
84,21,2025-02-07,Economy,2486,30,74580
85,22,2025-01-14,VIP,153,255,39015
86,22,2025-01-26,Premium,236,150,35400
87,22,2025-01-25,Standard,1000,35,35000
88,22,2025-02-05,Economy,4474,24,107376
89,23,2025-02-02,VIP,166,393,65238
90,23,2025-01-26,Premium,549,126,69174
91,23,2025-01-19,Standard,2690,33,88770
92,23,2025-01-24,Economy,2913,29,84477
93,24,2025-02-13,VIP,171,333,56943
94,24,2025-02-03,Premium,572,137,78364
95,24,2025-02-02,Standard,1233,36,44388
96,24,2025-01-18,Economy,4698,22,103356
97,25,2025-01-31,VIP,124,290,35960
98,25,2025-02-11,Premium,734,127,93218
99,25,2025-01-20,Standard,2437,36,87732
100,25,2025-01-24,Economy,2187,20,43740
101,26,2025-02-02,VIP,154,177,27258
102,26,2025-01-21,Premium,460,105,48300
103,26,2025-01-22,Standard,1384,37,51208
104,26,2025-02-10,Economy,3609,21,75789
105,27,2025-01-24,VIP,136,177,24072
106,27,2025-01-20,Premium,624,85,53040
107,27,2025-02-03,Standard,2897,70,202790
108,27,2025-02-03,Economy,4753,18,85554
109,28,2025-02-02,VIP,200,394,78800
110,28,2025-01-21,Premium,716,97,69452
111,28,2025-02-06,Standard,2973,61,181353
112,28,2025-01-24,Economy,2017,16,32272
113,29,2025-02-17,VIP,199,273,54327
114,29,2025-02-08,Premium,720,102,73440
115,29,2025-01-30,Standard,2416,67,161872
116,29,2025-02-01,Economy,2711,19,51509
117,30,2025-02-10,VIP,132,279,36828
118,30,2025-02-12,Premium,593,133,78869
119,30,2025-02-13,Standard,2247,74,166278
120,30,2025-02-08,Economy,3016,23,69368
121,31,2025-02-01,VIP,84,185,15540
122,31,2025-01-31,Premium,622,145,90190
123,31,2025-01-25,Standard,1612,74,119288
124,31,2025-02-06,Economy,4243,25,106075
125,32,2025-02-03,VIP,105,201,21105
126,32,2025-02-05,Premium,414,117,48438
127,32,2025-02-20,Standard,2406,52,125112
128,32,2025-02-09,Economy,4754,19,90326
129,33,2025-02-08,VIP,188,327,61476
130,33,2025-02-08,Premium,530,94,49820
131,33,2025-02-05,Standard,2558,52,133016
132,33,2025-02-04,Economy,4303,30,129090
133,34,2025-02-28,VIP,156,322,50232
134,34,2025-02-16,Premium,746,116,86536
135,34,2025-02-24,Standard,2797,57,159429
136,34,2025-02-27,Economy,2052,18,36936
137,35,2025-02-04,VIP,64,201,12864
138,35,2025-03-01,Premium,473,100,47300
139,35,2025-02-08,Standard,1586,73,115778
140,35,2025-02-05,Economy,3026,19,57494
141,36,2025-02-09,VIP,125,202,25250
142,36,2025-02-12,Premium,754,84,63336
143,36,2025-02-15,Standard,1734,58,100572
144,36,2025-02-20,Economy,2419,22,53218
145,37,2025-02-08,VIP,110,280,30800
146,37,2025-02-12,Premium,494,86,42484
147,37,2025-02-23,Standard,2897,54,156438
148,37,2025-02-16,Economy,3587,28,100436
149,38,2025-02-05,VIP,63,153,9639
150,38,2025-02-14,Premium,457,105,47985
151,38,2025-02-12,Standard,2270,79,179330
152,38,2025-02-12,Economy,3814,22,83908
153,39,2025-02-21,VIP,144,343,49392
154,39,2025-03-02,Premium,759,105,79695
155,39,2025-02-14,Standard,2589,76,196764
156,39,2025-03-05,Economy,2792,24,67008
157,40,2025-03-01,VIP,97,396,38412
158,40,2025-02-20,Premium,377,145,54665
159,40,2025-03-01,Standard,1244,54,67176
160,40,2025-03-05,Economy,2166,28,60648
161,41,2025-03-09,VIP,91,299,27209
162,41,2025-03-06,Premium,461,80,36880
163,41,2025-02-09,Standard,1676,59,98884
164,41,2025-02-28,Economy,4906,19,93214
165,42,2025-03-09,VIP,63,348,21924
166,42,2025-02-14,Premium,508,142,72136
167,42,2025-02-17,Standard,2617,66,172722
168,42,2025-03-01,Economy,4253,26,110578
169,43,2025-02-27,VIP,184,206,37904
170,43,2025-02-23,Premium,388,146,56648
171,43,2025-02-23,Standard,1139,80,91120
172,43,2025-02-28,Economy,4069,20,81380
173,44,2025-03-05,VIP,73,239,17447
174,44,2025-03-08,Premium,426,107,45582
175,44,2025-02-18,Standard,2358,51,120258
176,44,2025-02-23,Economy,3356,26,87256
177,45,2025-03-08,VIP,185,271,50135
178,45,2025-02-15,Premium,774,81,62694
179,45,2025-02-23,Standard,1234,72,88848
180,45,2025-02-24,Economy,3417,29,99093
181,46,2025-03-08,VIP,112,395,44240
182,46,2025-02-27,Premium,240,121,29040
183,46,2025-02-21,Standard,1781,80,142480
184,46,2025-03-07,Economy,2464,27,66528
185,47,2025-03-19,VIP,56,383,21448
186,47,2025-03-11,Premium,729,127,92583
187,47,2025-02-20,Standard,2053,62,127286
188,47,2025-02-28,Economy,3825,30,114750
189,48,2025-03-04,VIP,99,232,22968
190,48,2025-03-22,Premium,726,90,65340
191,48,2025-03-18,Standard,2941,36,105876
192,48,2025-03-03,Economy,2685,15,40275
193,49,2025-03-08,VIP,104,371,38584
194,49,2025-03-02,Premium,634,93,58962
195,49,2025-03-26,Standard,1421,64,90944
196,49,2025-03-05,Economy,4878,28,136584
197,50,2025-03-25,VIP,89,156,13884
198,50,2025-03-05,Premium,670,122,81740
199,50,2025-03-22,Standard,1077,35,37695
200,50,2025-03-13,Economy,2300,16,36800
201,51,2025-03-19,VIP,68,297,20196
202,51,2025-03-22,Premium,433,113,48929
203,51,2025-04-01,Standard,1834,54,99036
204,51,2025-03-20,Economy,3847,27,103869
205,52,2025-03-12,VIP,80,286,22880
206,52,2025-03-07,Premium,206,88,18128
207,52,2025-04-01,Standard,2548,77,196196
208,52,2025-03-23,Economy,4398,16,70368
209,53,2025-03-25,VIP,178,177,31506
210,53,2025-03-25,Premium,496,118,58528
211,53,2025-03-11,Standard,2242,35,78470
212,53,2025-03-16,Economy,3153,29,91437
213,54,2025-03-20,VIP,57,271,15447
214,54,2025-04-05,Premium,360,148,53280
215,54,2025-03-31,Standard,1450,38,55100
216,54,2025-03-19,Economy,3601,24,86424
217,55,2025-04-10,VIP,145,395,57275
218,55,2025-04-11,Premium,211,150,31650
219,55,2025-03-24,Standard,2791,65,181415
220,55,2025-03-23,Economy,2579,18,46422
221,56,2025-04-09,VIP,150,287,43050
222,56,2025-04-02,Premium,760,90,68400
223,56,2025-03-18,Standard,1624,43,69832
224,56,2025-03-26,Economy,4973,26,129298
225,57,2025-04-15,VIP,181,186,33666
226,57,2025-04-13,Premium,364,103,37492
227,57,2025-03-28,Standard,1452,69,100188
228,57,2025-03-24,Economy,3035,21,63735
229,58,2025-04-13,VIP,195,368,71760
230,58,2025-04-01,Premium,255,150,38250
231,58,2025-04-20,Standard,1944,71,138024
232,58,2025-04-14,Economy,4251,17,72267
233,59,2025-04-05,VIP,75,200,15000
234,59,2025-04-06,Premium,794,142,112748
235,59,2025-04-19,Standard,2948,51,150348
236,59,2025-04-23,Economy,3462,19,65778
237,60,2025-04-10,VIP,122,308,37576
238,60,2025-04-08,Premium,271,104,28184
239,60,2025-04-20,Standard,1650,61,100650
240,60,2025-04-07,Economy,3845,25,96125
241,61,2025-05-01,VIP,199,189,37611
242,61,2025-04-21,Premium,779,126,98154
243,61,2025-04-24,Standard,2654,50,132700
244,61,2025-04-06,Economy,3754,20,75080
